School,State,GSR,FGR
Akron,OH,58,52
Alabama A&M,AL,40,45
Alabama State,AL,81,59
Alabama,AL,73,57
Alabama at Birmingham,AL,60,55
Appalachian State,NC,68,56
Arkansas State,AR,68,60
Arizona State,AZ,67,52
Arizona,AZ,61,59
Arkansas,AR,54,39
Army,NY,89,
Auburn,AL,70,61
Ball State,IN,60,54
Baylor,TX,67,48
Boise State,ID,91,67
Boston College,MA,94,86
Bowling Green,OH,70,55
Brigham Young,UT,57,42
Buffalo,NY,59,58
Butler,IN,75,
California,CA,44,39
UCLA,CA,82,69
Central Florida,FL,83,58
Central Michigan,MI,51,37
Cincinnati,OH,65,57
Charlotte,NC,100,
The Citadel,SC,77,62
Clemson,SC,77,59
Coastal Carolina,SC,66,57
Colorado State,CO,78,68
Colorado,CO,70,58
Connecticut,CT,65,54
Davidson College,NC,98,
Dayton,OH,96,
Delaware State,DE,55,49
Delaware,DE,66,69
Drake,IA,87,
Duke,NC,90,81
Duquesne,PA,84,
East Carolina,NC,66,57
Eastern Michigan,MI,59,43
Florida A&M,FL,44,45
Florida Atlantic,FL,54,49
Florida International,FL,47,41
Fresno State,CA,70,76
Florida State,FL,58,47
Florida,FL,77,49
Georgia Tech,GA,63,53
Georgia,GA,82,70
Georgia Southern,GA,48,38
Georgia State,GA,50,
Hampton,VA,49,52
Harvard,MA,95,
Hawaii,HI,59,49
Houston,TX,57,53
Howard,DC,61,58
Idaho State,ID,41,23
Illinois,IL,73,56
Indiana,IN,67,57
Iowa State,IA,60,48
Iowa,IA,81,66
Kansas State,KS,59,53
Kansas,KS,69,53
Kent State,OH,58,52
Kentucky,KY,62,55
Liberty,VA,65,54
LSU,LA,74,44
Louisiana-Lafayette,LA,65,62
Louisiana-Monroe,LA,59,51
Louisiana Tech,LA,79,57
Louisville,KY,66,49
Marshall,WV,66,54
Maryland,MD,73,63
Massachusetts,MA,61,55
Memphis,TN,74,65
Miami (Ohio),OH,75,67
Miami (Fla.),FL,86,69
Michigan State,MI,70,54
Michigan,MI,66,57
Middle Tennessee,TN,73,54
Minnesota,MN,65,50
Mississippi State,MS,59,46
Mississippi,MS,55,42
Missouri,MO,74,57
North Carolina,NC,65,52
Nebraska,NE,76,60
Nevada-Las Vegas,NV,64,69
Nevada,NV,71,62
New Mexico State,NM,63,44
New Mexico,NM,58,42
North Carolina State,NC,64,57
North Texas,TX,65,62
Northern Illinois,IL,85,67
Northwestern,IL,97,92
Notre Dame,IN,93,74
Ohio State,OH,75,58
Ohio,OH,75,65
Oklahoma State,OK,56,45
Oklahoma,OK,51,43
Old Dominion,VA,50,
Oregon State,OR,66,59
Oregon,OR,72,57
Penn State,PA,85,72
Pittsburgh,PA,68,55
Purdue,IN,64,57
Rice,TX,96,89
Rutgers,NJ,85,66
San Diego State,CA,68,66
San Jose State,CA,51,53
South Alabama,AL,64,44
South Carolina,SC,65,51
South Florida,FL,57,39
Southern California,CA,53,44
Southern Methodist,TX,75,63
Southern Mississippi,MS,71,59
Texas State,TX,64,45
Stanford,CA,93,89
Syracuse,NY,77,64
Tennessee,TN,64,61
Texas A&M,TX,74,64
Texas Christian,TX,85,80
Texas-San Antonio,TX,100,
Texas Tech,TX,72,56
Texas,TX,56,57
Texas-El Paso,TX,66,59
Toledo,OH,67,60
Troy,AL,48,43
Tulane,LA,82,63
Tulsa,OK,75,59
Air Force,CO,93,
Navy,MD,84,
Utah State,UT,84,56
Utah,UT,73,57
Vanderbilt,TN,82,68
Villanova,PA,84,79
Virginia Tech,VA,78,62
Virginia,VA,74,69
Wake Forest,NC,86,77
Washington State,WA,57,51
Washington,WA,74,66
West Virginia,WV,80,61
Western Kentucky,KY,72,59
Western Michigan,MI,68,58
Wisconsin,WI,72,57
Wyoming,WY,65,48
