School,Scoring Margin
Air Force,4.5
Akron,-8.2
Alabama,27.5
Alabama at Birmingham,12.9
Appalachian State,21.8
Arizona,-1.2
Arizona State,4.4
Arkansas,-13.1
Arkansas State,4.7
Army,15.1
Auburn,11.8
Ball State,-8.2
Baylor,-2.2
Boise State,13.3
Boston College,6.3
Bowling Green,-15.7
Brigham Young,5.8
Buffalo,8.6
California,1.2
Central Florida,20.5
Central Michigan,-12.3
Charlotte,-4.9
Cincinnati,17.7
Clemson,31.1
Coastal Carolina,-6.5
Colorado,-0.2
Colorado State,-13.9
Connecticut,-28.2
Duke,2
East Carolina,-14.6
Eastern Michigan,4.9
Florida,15
Florida Atlantic,-0.7
Florida International,9.4
Florida State,-9.6
Fresno State,20.5
Georgia,18.6
Georgia Southern,8.9
Georgia State,-13.5
Georgia Tech,4.3
Hawaii,-4.3
Houston,6.8
Illinois,-13.4
Indiana,-3.5
Iowa,13.4
Iowa State,3.8
Kansas,-6.2
Kansas State,-2.9
Kent State,-12.8
Kentucky,9.8
Liberty,-3.6
Louisiana Tech,1.7
Louisiana-Lafayette,-2.3
Louisiana-Monroe,-5.2
Louisville,-24.3
LSU,10.6
Marshall,6.4
Maryland,-0.2
Massachusetts,-10.1
Memphis,11
Miami (FL),9.3
Miami (OH),2.6
Michigan,15.8
Michigan State,1.5
Middle Tennessee,1.3
Minnesota,2.4
Mississippi,-2.2
Mississippi State,15.4
Missouri,11.2
Navy,-8.5
Nebraska,-1.2
Nevada,4.2
Nevada-Las Vegas,-8.5
New Mexico,-9.6
New Mexico State,-16.1
North Carolina,-7.2
North Carolina State,8.9
North Texas,10.5
Northern Illinois,-2.5
Northwestern,1
Notre Dame,13.2
Ohio,15.5
Ohio State,16.9
Oklahoma,15.1
Oklahoma State,5.9
Old Dominion,-5.1
Oregon,9.5
Oregon State,-19.6
Penn State,13.2
Pittsburgh,-2.1
Purdue,0.5
Rice,-17.1
Rutgers,-17.9
San Diego State,-1.5
San Jose State,-15.3
South Alabama,-14.6
South Carolina,2.8
South Florida,-3.5
Southern California,-0.9
Southern Methodist,-4.8
Southern Miss,6.4
Stanford,5.5
Syracuse,13.2
Temple,7.8
Tennessee,-5.2
Texas,5.2
Texas A&M,10.7
Texas Christian,0.5
Texas State,-7.9
Texas Tech,6.2
Texas-El Paso,-15.1
Texas-San Antonio,-17
Toledo,9.8
Troy,8.7
Tulane,-0.7
Tulsa,-5.5
UCLA,-9.5
Utah,8.6
Utah State,25.3
Vanderbilt,1.8
Virginia,8.4
Virginia Tech,-1.2
Wake Forest,-0.5
Washington,10
Washington State,14.2
West Virginia,13.1
Western Kentucky,-6.8
Western Michigan,-2.5
Wisconsin,7.1
Wyoming,-1.3
