Team,Capacity,School
Air Force,"46,692",Air Force
Akron,"30,000",Akron
Alabama,"101,821",Alabama
Appalachian State,"30,000",Appalachian State
Arizona,"56,029",Arizona
Arizona State,"56,232",Arizona State
Arkansas,"80,000",Arkansas
Arkansas State,"30,964",Arkansas State
Army,"38,000",Army
Auburn,"87,451",Auburn
Ball State,"22,500",Ball State
Baylor,"45,140",Baylor
Boise State,"36,387",Boise State
Boston College,"44,500",Boston College
Bowling Green,"24,000",Bowling Green
Buffalo,"29,013",Buffalo
BYU,"63,470",Brigham Young
California,"62,717",California
Central Michigan,"30,255",Central Michigan
Charlotte,"15,314",Charlotte
Cincinnati,"40,000",Cincinnati
Clemson,"81,500",Clemson
Coastal Carolina,"20,000",Coastal Carolina
Colorado,"50,183",Colorado
Colorado State,"41,200",Colorado State
Duke,"40,000",Duke
East Carolina,"50,000",East Carolina
Eastern Michigan,"30,200",Eastern Michigan
FIU,"23,500",Florida International
Florida,"88,548",Florida
Florida Atlantic,"30,000",Florida Atlantic
Florida State,"79,560",Florida State
Fresno State,"41,031",Fresno State
Georgia,"92,746",Georgia
Georgia Southern,"25,000",Georgia Southern
Georgia State,"25,000",Georgia State
Georgia Tech,"55,000",Georgia Tech
Hawaiʻi,"50,000",Hawaii
Houston,"40,000",Houston
Illinois,"60,670",Illinois
Indiana,"52,959",Indiana
Iowa,"70,585",Iowa
Iowa State,"61,500",Iowa State
Kansas,"50,071",Kansas
Kansas State,"50,000",Kansas State
Kent State,"25,000",Kent State
Kentucky,"61,000",Kentucky
Liberty,"25,000",Liberty
Louisiana,"41,426",Louisiana
Louisiana Tech,"28,109",Louisiana Tech
Louisiana-Monroe,"30,427",Louisiana-Monroe
Louisville,"61,000",Louisville
LSU,"102,321",LSU
Marshall,"38,019",Marshall
Maryland,"51,802",Maryland
Memphis,"62,380",Memphis
Miami,"24,286",Miami (Ohio)
Miami,"65,326",Miami (Fla.)
Michigan,"107,601",Michigan
Michigan State,"75,005",Michigan State
Middle Tennessee,"31,000",Middle Tennessee
Minnesota,"50,805",Minnesota
Mississippi,"64,038",Mississippi
Mississippi State,"61,337",Mississippi State
Missouri,"61,620",Missouri
Navy,"34,000",Navy
NC State,"57,583",North Carolina State
Nebraska,"86,047",Nebraska
Nevada,"26,000",Nevada
New Mexico,"39,224",New Mexico
New Mexico State,"30,343",New Mexico State
NIU,"23,595",North Carolina
North Carolina,"51,000",Northern Illinois
North Texas,"30,850",North Texas
Northwestern,"47,130",Northwestern
Notre Dame,"77,622",Notre Dame
Ohio,"24,000",Ohio
Ohio State,"102,780",Ohio State
Oklahoma,"86,112",Oklahoma
Oklahoma State,"60,218",Oklahoma State
Old Dominion,"22,480",Old Dominion
Oregon,"54,000",Oregon
Oregon State,"45,674",Oregon State
Penn State,"106,572",Penn State
Pittsburgh,"68,400",Pittsburgh
Purdue,"57,236",Purdue
Rice,"47,000",Rice
Rutgers,"52,454",Rutgers
San Diego State,"70,561",San Diego State
San Jose State,"30,456",San Jose State
SMU,"32,000",Southern Methodist
South Alabama,"25,450",South Alabama
South Carolina,"80,250",South Carolina
Southern California,"77,500",Southern California
Southern Miss,"36,000",Southern Mississippi
Stanford,"50,424",Stanford
Syracuse,"49,250",Syracuse
TCU,"45,000",Texas Christian
Temple,"68,532",Temple
Tennessee,"102,455",Tennessee
Texas,"100,119",Texas
Texas A&M,"102,733",Texas A&M
Texas State,"30,000",Texas State
Texas Tech,"60,862",Texas Tech
Toledo,"26,248",Toledo
Troy,"30,402",Troy
Tulane,"30,000",Tulane
Tulsa,"30,000",Tulsa
UAB,"71,594",Alabama at Birmingham
UCF,"44,206",Central Florida
UCLA,"90,888",UCLA
UConn,"40,000",Conneticutt
UMass,"17,000",Massachusetts
UNLV,"65,000",Nevada-Las Vegas
USF,"65,857",South Florida
Utah,"47,825",Utah
Utah State,"25,513",Utah State
UTEP,"51,500",Texas-El Paso
UTSA,"65,000",Texas-San Antonio
Vanderbilt,"40,350",Vanderbilt
Virginia,"61,500",Virginia
Virginia Tech,"66,233",Virginia Tech
Wake Forest,"31,500",Wake Forest
Washington,"70,500",Washington
Washington State,"32,248",Washington State
West Virginia,"60,000",West Virginia
Western Kentucky,"22,113",Western Kentucky
Western Michigan,"30,200",Western Michigan
Wisconsin,"80,321",Wisconsin
Wyoming,"29,181",Wyoming
,"41,426",Louisiana-Lafayette
,"11,427",The Citadel
