School,State,Capacity,W,L,Pct,AP Rank,GSR,FGR
Air Force,CO,"46,692",5,7,0.417,,93,
Akron,OH,"30,000",7,7,0.5,,58,52
Alabama,AL,"101,821",13,1,0.929,1,73,57
Alabama at Birmingham,AL,"71,594",8,5,0.615,,60,55
Appalachian State,NC,"30,000",9,4,0.692,,68,56
Arizona,AZ,"56,029",7,6,0.538,,61,59
Arizona State,AZ,"56,232",7,6,0.538,,67,52
Arkansas,AR,"80,000",4,8,0.333,,54,39
Arkansas State,AR,"30,964",7,5,0.583,,68,60
Army,NY,"38,000",10,3,0.769,,89,
Auburn,AL,"87,451",10,4,0.714,10,70,61
Ball State,IN,"22,500",2,10,0.167,,60,54
Baylor,TX,"45,140",1,11,0.083,,67,48
Boise State,ID,"36,387",11,3,0.786,22,91,67
Boston College,MA,"44,500",7,6,0.538,,94,86
Bowling Green,OH,"24,000",2,10,0.167,,70,55
Brigham Young,UT,"63,470",4,9,0.308,,57,42
Buffalo,NY,"29,013",6,6,0.5,,59,58
California,CA,"62,717",5,7,0.417,,44,39
Central Florida,FL,"44,206",13,0,1,6,83,58
Central Michigan,MI,"30,255",8,5,0.615,,51,37
Charlotte,NC,"15,314",1,11,0.083,,100,
Cincinnati,OH,"40,000",4,8,0.333,,65,57
Clemson,SC,"81,500",12,2,0.857,4,77,59
Coastal Carolina,SC,"20,000",3,9,0.25,,66,57
Colorado,CO,"50,183",5,7,0.417,,70,58
Colorado State,CO,"41,200",7,6,0.538,,78,68
Connecticut,CT,"40,000",3,9,0.25,,65,54
Duke,NC,"40,000",7,6,0.538,,90,81
East Carolina,NC,"50,000",3,9,0.25,,66,57
Eastern Michigan,MI,"30,200",5,7,0.417,,59,43
Florida,FL,"88,548",4,7,0.364,,77,49
Florida Atlantic,FL,"30,000",11,3,0.786,,54,49
Florida International,FL,"23,500",8,5,0.615,,47,41
Florida State,FL,"79,560",7,6,0.538,,58,47
Fresno State,CA,"41,031",10,4,0.714,,70,76
Georgia,GA,"92,746",13,2,0.867,2,82,70
Georgia Southern,GA,"25,000",2,10,0.167,,48,38
Georgia State,GA,"25,000",7,5,0.583,,50,
Georgia Tech,GA,"55,000",5,6,0.455,,63,53
Hawaii,HI,"50,000",3,9,0.25,,59,49
Houston,TX,"40,000",7,5,0.583,,57,53
Illinois,IL,"60,670",2,10,0.167,,73,56
Indiana,IN,"52,959",5,7,0.417,,67,57
Iowa,IA,"70,585",8,5,0.615,,81,66
Iowa State,IA,"61,500",8,5,0.615,,60,48
Kansas,KS,"50,071",1,11,0.083,,69,53
