School,State,Capacity,FPI,Rank,Win,Loss,Win %,GSR,FGR,NFL,Lat,Long
Air Force,CO,"46,692",7.3,38,11,2,0.846,93,,2,39.012951,-104.85894
Akron,OH,"30,000",-28.6,129,0,12,0.000,58,52,2,41.077351,-81.514717
Alabama,AL,"101,821",29.4,4,11,2,0.846,73,57,56,33.215775,-87.538261
Alabama at Birmingham,AL,"71,594",-9.4,104,9,5,0.643,60,55,3,33.52286,-86.8077
Appalachian State,NC,"30,000",8.1,29,13,1,0.929,68,56,5,36.21193,-81.66069
Arizona,AZ,"56,029",6,43,8,5,0.615,61,59,5,33.423851,-111.92762
Arizona State,AZ,"56,232",-2.4,72,4,8,0.333,67,52,7,35.18353,-111.65481
Arkansas,AR,"80,000",-7,91,2,10,0.167,54,39,13,33.29275,-93.23392
Arkansas State,AR,"30,964",-6.1,90,8,5,0.615,68,60,2,35.84223,-90.67513
Army,NY,"38,000",-4.6,84,6,8,0.429,89,,1,35.17326,-79.0037
Auburn,AL,"87,451",21.3,10,9,4,0.692,70,61,25,32.584209,-85.495827
Ball State,IN,"22,500",-5.3,88,5,7,0.417,60,54,2,40.206104,-85.406982
Baylor,TX,"45,140",14.1,17,11,3,0.786,67,48,7,31.549702,-97.114304
Boise State,ID,"36,387",8.2,28,12,2,0.857,91,67,12,43.6036,-116.20871
Boston College,MA,"44,500",-1.5,69,6,7,0.462,94,86,14,42.31668,-71.16062
Bowling Green,OH,"24,000",-26,127,3,9,0.250,70,55,1,41.398319,-82.593109
Brigham Young,UT,"63,470",1.8,57,7,6,0.538,57,42,7,40.235119,-111.662193
Buffalo,NY,"29,013",-3.4,80,8,5,0.615,59,58,2,42.886448,-78.878372
California,CA,"62,717",3.5,52,8,5,0.615,44,39,18,37.871666,-122.272781
Central Florida,FL,"44,206",12.6,21,10,3,0.769,83,58,13,28.6024274,-81.2000599
Central Michigan,MI,"30,255",-7.6,93,8,6,0.571,51,37,4,43.57762,-84.77087
Charlotte,NC,"15,314",-11.7,113,7,6,0.538,100,,4,35.223789,-80.841141
Cincinnati,OH,"40,000",8.1,30,11,3,0.786,65,57,12,39.103119,-84.512016
Clemson,SC,"81,500",31.5,2,14,1,0.933,77,59,29,34.683437,-82.837364
Coastal Carolina,SC,"20,000",-12,114,5,7,0.417,66,57,1,33.8362,-79.0537
Colorado,CO,"50,183",-1.6,70,5,7,0.417,70,58,13,40.014984,-105.270546
Colorado State,CO,"41,200",-9.6,105,4,8,0.333,78,68,7,40.585258,-105.084419
Connecticut,CT,"40,000",-25.5,126,2,10,0.167,65,54,8,41.80843,-72.24952
Duke,NC,"40,000",-0.3,64,5,7,0.417,90,81,6,35.994034,-78.898621
East Carolina,NC,"50,000",-13.3,115,4,8,0.333,66,57,2,35.612659,-77.366356
